Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN,RRR,Rentabilidad,RR,,
1516147200,17/01/2018,ETHMXN,21000,21997.1,13600,20502,5640.03,100177581.3,8.829740267,8.83%,,,
1516060800,16/01/2018,ETHMXN,26640.77,26998.96,17535.2,21000,5311.71,118686528.6,106.1949918,106.20%,,,
1515974400,15/01/2018,ETHMXN,29015.18,29498.97,26500,26640.77,1183.45,32892284.51,200.6345853,200.63%,,,
1515888000,14/01/2018,ETHMXN,28992.14,29198.99,27560.01,29015.18,865.23,24627459.3,-2.662875767,-2.66%,,,
1515801600,13/01/2018,ETHMXN,26699.33,29999,26202.27,28992.14,1639.03,46595716.93,-139.8882266,-139.89%,,,
1515715200,12/01/2018,ETHMXN,24750.23,26849,23300,26699.33,1471.94,37943570.6,-132.4170822,-132.42%,,,
1515628800,11/01/2018,ETHMXN,26700,28003.51,23101,24750.23,3413.34,87144361.84,57.1220564,57.12%,,,
1515542400,10/01/2018,ETHMXN,28002,31000.15,25600,26700,5188.46,148260958,25.09415125,25.09%,,,
1515456000,09/01/2018,ETHMXN,25900,28999.99,24499.97,28002,2894.52,77103717.41,-72.61998535,-72.62%,,,
1515369600,08/01/2018,ETHMXN,23926,26982.69,22000,25900,3219.1,80687070.97,-61.32148737,-61.32%,,,
1515283200,07/01/2018,ETHMXN,20802,23926,20750,23926,1092.18,24863930.95,-286.0334377,-286.03%,,,
1515196800,06/01/2018,ETHMXN,20800,21326.83,20104,20802,979.27,20371431.37,-0.204233766,-0.20%,,,
1515110400,05/01/2018,ETHMXN,20899.84,23000,20000,20800,2590.59,54427382.19,3.853948328,3.85%,,,
1515024000,04/01/2018,ETHMXN,19994.99,21200,19000,20899.84,2512.5,50709447.16,-36.01393035,-36.01%,,,
1514937600,03/01/2018,ETHMXN,18900.04,20000,18353.97,19994.99,2060.67,39327223.02,-53.13563064,-53.14%,,,
1514851200,02/01/2018,ETHMXN,17012,20000,17012,18900.04,3659.19,69757767.68,-51.5972114,-51.60%,,,
1514764800,01/01/2018,ETHMXN,16350,17500,16250,17012,1202.65,20569202.73,-55.04510872,-55.05%,,,
1514678400,31/12/2017,ETHMXN,15589.99,16501.1,15093.99,16350,1170.77,18828564.62,-64.91539756,-64.92%,,,
1514592000,30/12/2017,ETHMXN,15903.01,16400,14810,15589.99,1520.92,23619875.56,20.58096415,20.58%,,,
1514505600,29/12/2017,ETHMXN,15500,16400,15200,15903.01,2406.76,38074161.77,-16.74491848,-16.74%,,,
1514419200,28/12/2017,ETHMXN,15750,15900,14900,15500,1466.43,22404459.21,17.04820551,17.05%,,,
1514332800,27/12/2017,ETHMXN,16170,16400,15297.91,15750,1655.86,26229374.88,25.36446318,25.36%,,,
1514246400,26/12/2017,ETHMXN,15450,16200,15239.57,16170,1499.05,23718818.81,-48.03041927,-48.03%,,,
1514160000,25/12/2017,ETHMXN,14600,15750,14351.53,15450,1444.78,22016989.15,-58.83248661,-58.83%,,,
1514073600,24/12/2017,ETHMXN,14939.37,15288.96,13682.16,14600,1440.88,20710926.53,23.55296763,23.55%,,,
1513987200,23/12/2017,ETHMXN,13889.99,15589.95,13500,14939.37,1735.92,25714855.28,-60.45094244,-60.45%,,,
1513900800,22/12/2017,ETHMXN,16175.11,16400,9000.01,13889.99,6395.23,85641819.5,35.73163123,35.73%,,,
1513814400,21/12/2017,ETHMXN,17130,17180,14790,16175.11,3140.3,50985741.49,30.40760437,30.41%,,,
1513728000,20/12/2017,ETHMXN,17148.5,17399.83,15976.33,17130,3335.42,56075618.61,0.554652787,0.55%,,,
1513641600,19/12/2017,ETHMXN,15652.5,17500,15302,17148.5,4662.34,77480634.86,-32.08689199,-32.09%,,,
1513555200,18/12/2017,ETHMXN,14458.57,15800,13599,15652.5,3633.82,54123151.78,-32.85605781,-32.86%,,,
1513468800,17/12/2017,ETHMXN,13548.16,14500,13548.16,14458.57,999.46,14261725.87,-91.0901887,-91.09%,,,
1513382400,16/12/2017,ETHMXN,13997.99,14549.89,13501,13548.16,2790.91,39056506.98,16.11768205,16.12%,,,
1513296000,15/12/2017,ETHMXN,14094,14200,12629.1,13997.99,4507.25,61171037.58,2.13012369,2.13%,,,
1513209600,14/12/2017,ETHMXN,14988,15500,13500.02,14094,3162.45,44902359.59,28.26922165,28.27%,,,
1513123200,13/12/2017,ETHMXN,11979.97,15500,11500,14988,4634.87,60703960.67,-64.89998641,-64.90%,,,
1513036800,12/12/2017,ETHMXN,9942,11999,9400,11979.97,6178.31,67349380.33,-32.98588125,-32.99%,,,
1512950400,11/12/2017,ETHMXN,8630,10000,8560,9942,2284.93,21135853.64,-57.41970214,-57.42%,,,
1512864000,10/12/2017,ETHMXN,9567.5,9567.5,8410,8630,1258.66,11076188.78,74.48397502,74.48%,,,
1512777600,09/12/2017,ETHMXN,9346.52,11000,9110,9567.5,3872.8,38626414.6,-5.705949184,-5.71%,,,
1512691200,08/12/2017,ETHMXN,8390,9734.99,8110,9346.52,3774.33,33260245.28,-25.34277607,-25.34%,,,
1512604800,07/12/2017,ETHMXN,8548.85,8899,8060.01,8390,2711.67,23185217.47,5.858013696,5.86%,,,
1512518400,06/12/2017,ETHMXN,8786.4,9000,8501,8548.85,3019.64,26434113.79,7.866831808,7.87%,,,
1512432000,05/12/2017,ETHMXN,8875.63,8959,8600,8786.4,1207,10587838.2,7.392709196,7.39%,,,
1512345600,04/12/2017,ETHMXN,8800,8953,8650.04,8875.63,970.72,8548987.61,-7.791124114,-7.79%,,,
1512259200,03/12/2017,ETHMXN,8570,8949.99,8550,8800,905.76,7960384.4,-25.3930401,-25.39%,,,
1512172800,02/12/2017,ETHMXN,8700,8797,8550,8570,471.33,4080978.61,27.58152462,27.58%,,,
1512086400,01/12/2017,ETHMXN,8597.68,8798,8100.01,8700,1821.87,15571357.32,-5.616207523,-5.62%,,,
1512000000,30/11/2017,ETHMXN,8497.99,8830,8050,8597.68,3746.69,31553910.62,-2.660748554,-2.66%,,,
1511913600,29/11/2017,ETHMXN,8835.01,9449,8082,8497.99,4665.04,40802311.86,7.224375354,7.22%,,,
1511827200,28/11/2017,ETHMXN,9094.93,9100,8700,8835.01,1798.97,15958901.48,14.44826762,14.45%,,,
1511740800,27/11/2017,ETHMXN,8669.22,9100,8508,9094.93,2092.09,18521085.52,-20.34855097,-20.35%,,,
1511654400,26/11/2017,ETHMXN,8564,8700,8350,8669.22,1213.78,10291656.02,-8.668786765,-8.67%,,,
1511568000,25/11/2017,ETHMXN,8937,9000,8520.01,8564,2141.58,18793554.67,17.41704723,17.42%,,,
1511481600,24/11/2017,ETHMXN,7700,8950,7400,8937,3817.52,31540178.5,-32.40323561,-32.40%,,,
1511395200,23/11/2017,ETHMXN,6420,7991.14,6420,7700,2024.1,15779485.04,-63.23798231,-63.24%,,,
1511308800,22/11/2017,ETHMXN,6420,6420,6420,6420,0,0,#¡DIV/0!,#VALUE!,,,
1511222400,21/11/2017,ETHMXN,6420,6420,6420,6420,0,0,#¡DIV/0!,#VALUE!,,,
1511136000,20/11/2017,ETHMXN,6420,6420,6420,6420,0,0,#¡DIV/0!,#VALUE!,,,
1511049600,19/11/2017,ETHMXN,6420,6420,6420,6420,0,0,#¡DIV/0!,#VALUE!,,,
1510963200,18/11/2017,ETHMXN,6420,6420,6420,6420,0,0,#¡DIV/0!,#VALUE!,,,
1510876800,17/11/2017,ETHMXN,6420,6420,6420,6420,0,0,#¡DIV/0!,#VALUE!,,,
1510790400,16/11/2017,ETHMXN,6420,6420,6420,6420,0,0,#¡DIV/0!,#VALUE!,,,
1510704000,15/11/2017,ETHMXN,6548,6548,6271.01,6420,872.92,5594359.65,14.66342849,14.66%,,,
1510617600,14/11/2017,ETHMXN,6175.19,6549,6164,6548,2144.3,13690479.28,-17.38609336,-17.39%,,,
1510531200,13/11/2017,ETHMXN,6239.83,6350,6007.51,6175.19,1760.16,10926619.1,3.672393419,3.67%,,,
1510444800,12/11/2017,ETHMXN,6100.03,6349.56,5803,6239.83,2187.22,13502175.77,-6.391675277,-6.39%,,,
1510358400,11/11/2017,ETHMXN,6000,6387,5900,6100.03,1300.91,8015815.13,-7.689232922,-7.69%,,,
1510272000,10/11/2017,ETHMXN,6200,6399.98,5740.01,6000,1946.25,11723633.41,10.27617213,10.28%,,,
1510185600,09/11/2017,ETHMXN,5979.16,6400,5902,6200,1646.59,10220226.49,-13.41196048,-13.41%,,,
1510099200,08/11/2017,ETHMXN,5699.95,6106,5603.25,5979.16,2042.52,12110416.3,-13.66987839,-13.67%,,,
1510012800,07/11/2017,ETHMXN,5783,5866.96,5549.81,5699.95,1152.61,6561380.63,7.205386037,7.21%,,,
1509926400,06/11/2017,ETHMXN,5689.7,5891.71,5660,5783,954.1,5521538.96,-9.778849177,-9.78%,,,
1509840000,05/11/2017,ETHMXN,5721.1,5848.98,5650.83,5689.7,390.32,2238786.18,8.044681287,8.04%,,,
1509753600,04/11/2017,ETHMXN,5950.06,5995.98,5690,5721.1,385.93,2233919.71,59.32682093,59.33%,,,
1509667200,03/11/2017,ETHMXN,5549.03,6000,5460,5950.06,2115.71,12318957.5,-18.95486622,-18.95%,,,
1509580800,02/11/2017,ETHMXN,5700,5729.99,5400,5549.03,1826.06,10091570.87,8.267526806,8.27%,,,
1509494400,01/11/2017,ETHMXN,5859.99,5920,5625,5700,1756.35,10134551.92,9.109232215,9.11%,,,
1509408000,31/10/2017,ETHMXN,5818.86,5898.99,5720,5859.99,740.02,4303117.22,-5.557957893,-5.56%,,,
1509321600,30/10/2017,ETHMXN,5769.98,5854.99,5653.01,5818.86,618.47,3575262.85,-7.903374456,-7.90%,,,
1509235200,29/10/2017,ETHMXN,5650.08,5930,5650,5769.98,645.66,3723552.29,-18.57014528,-18.57%,,,
