Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN,RRR,Rentabilidad,RR,,
1564185600,27/07/2019,BTCMXN,187837.35,195607.46,179297,181000,131.08,24331988.41,52.161657,52.16%,,,
1564099200,26/07/2019,BTCMXN,190000,191800,185000,187837.35,141.81,26579968.96,15.25033496,15.25%,,,
1564012800,25/07/2019,BTCMXN,188200,196600,186880.13,190000,140.13,26958095.76,-12.84521516,-12.85%,,,
1563926400,24/07/2019,BTCMXN,190849.8,190940.75,183000.02,188200,140.92,26340505.89,18.8035765,18.80%,,,
1563840000,23/07/2019,BTCMXN,197646.03,198996.97,188880.69,190849.8,154.58,29918681.22,43.96577824,43.97%,,,
1563753600,22/07/2019,BTCMXN,201500,203800,193021,197646.03,108.37,21456928.04,35.56307096,35.56%,,,
1563667200,21/07/2019,BTCMXN,204504,207086.99,197000,201500,71.74,14460819.51,41.87343184,41.87%,,,
1563580800,20/07/2019,BTCMXN,201995.4,211629.43,199551,204504,111.04,22864217.59,-22.59185879,-22.59%,,,
1563494400,19/07/2019,BTCMXN,205179.88,205779,195000,201995.4,163.75,32728317.9,19.44720611,19.45%,,,
1563408000,18/07/2019,BTCMXN,185993.96,207000,177555.02,205179.88,247.18,48330838.26,-77.61922486,-77.62%,,,
1563321600,17/07/2019,BTCMXN,182369.99,193460,173283.66,185993.96,374.62,69325638.77,-9.673722706,-9.67%,,,
1563235200,16/07/2019,BTCMXN,209481.71,210000,179999,182369.99,287.04,54930334.79,94.4527592,94.45%,,,
1563148800,15/07/2019,BTCMXN,204996.74,212693.06,193138,209481.71,376.14,76605299.54,-11.92367204,-11.92%,,,
1563062400,14/07/2019,BTCMXN,218441.81,219999.98,201000,204996.74,145.4,30141334.89,92.46953232,92.47%,,,
1562976000,13/07/2019,BTCMXN,227000,227799.93,208674,218441.81,149.14,32336281.42,57.3835993,57.38%,,,
1562889600,12/07/2019,BTCMXN,220350,228688.99,214777.01,227000,186.21,41550242.34,-35.71236776,-35.71%,,,
1562803200,11/07/2019,BTCMXN,234572.93,236547.58,213000,220350,302.44,67365577.82,47.02727814,47.03%,,,
1562716800,10/07/2019,BTCMXN,239140.31,251000,225111.01,234572.93,316.22,75617952.05,14.44367845,14.44%,,,
1562630400,09/07/2019,BTCMXN,232849,240808.3,230000.01,239140.31,242.53,57440259.33,-25.94033728,-25.94%,,,
1562544000,08/07/2019,BTCMXN,217193.33,233900,216650,232849,186.42,42311176.8,-83.98063512,-83.98%,,,
1562457600,07/07/2019,BTCMXN,217099.99,220000,213500,217193.33,62.51,13584792.49,-1.493201088,-1.49%,,,
1562371200,06/07/2019,BTCMXN,211000.55,224497.4,211000.55,217099.99,138.8,30439065.4,-43.94409222,-43.94%,,,
1562284800,05/07/2019,BTCMXN,213408,221499.99,208000,211000.55,255.39,54829127.62,9.426563295,9.43%,,,
1562198400,04/07/2019,BTCMXN,226585.65,228999.99,213000,213408,243.31,54489268.96,54.15991944,54.16%,,,
1562112000,03/07/2019,BTCMXN,207685.33,228000,206512.24,226585.65,322.09,70154079.33,-58.68024465,-58.68%,,,
1562025600,02/07/2019,BTCMXN,204445.99,209810,188000,207685.33,322.28,64554478.08,-10.05132183,-10.05%,,,
1561939200,01/07/2019,BTCMXN,208988.54,218100,193500,204445.99,345.27,70136499.8,13.15651519,13.16%,,,
1561852800,30/06/2019,BTCMXN,229000,234500,206541,208988.54,148.29,32518206.67,134.9481422,134.95%,,,
1561766400,29/06/2019,BTCMXN,238739.9,239999.7,218000,229000,197.63,45347086.66,49.28350959,49.28%,,,
1561680000,28/06/2019,BTCMXN,213700.12,240349.99,205000,238739.9,370.09,83565561.46,-67.65862358,-67.66%,,,
1561593600,27/06/2019,BTCMXN,258288.1,259000,192950,213700.12,595.36,131554455.9,74.89246842,74.89%,,,
1561507200,26/06/2019,BTCMXN,229541.02,269103.2,216765.86,258288.1,602.15,147699362.4,-47.74072905,-47.74%,,,
1561420800,25/06/2019,BTCMXN,210400,230000,209568.1,229541.02,253.05,55233222.47,-75.64125667,-75.64%,,,
1561334400,24/06/2019,BTCMXN,204996.31,211402.5,200000,210400,181.61,37678929.46,-29.75436375,-29.75%,,,
